block,revenue,cost
1,2378,327828
2,2378,302940
3,59578,320959
4,6321,315146
5,61159,336634
6,797,287334
7,797,287298
8,1597,306490
9,1597,291468
10,59578,330153
11,4759,292802
12,1597,291444
13,1597,291504
14,3178,292148
15,2359,280235
16,58797,326424
17,3178,290022
18,61959,327730
19,64321,351413
20,2378,287958
21,65102,328590
22,3940,280942
23,3159,284485
24,3178,292172
25,5521,280559
26,67476,491097
27,69067,464881
28,11864,292089
29,100448,673925
30,183900,829039
31,126574,687693
32,41837,341364
33,17341,271916
34,46447,374832
35,19722,285311
36,14188,273921
37,14131,265353
38,31646,312764
39,88448,640045
40,71857,536911
41,132048,567268
42,52180,412257
43,70848,582626
44,142896,504105
45,54390,476887
46,63819,537967
47,42599,406211
48,18941,293188
49,18141,273160
50,18922,279775
51,18931,274951
52,15750,266951
53,12626,280937
54,15788,282412
55,18131,271302
56,11845,284406
57,68245,356603
58,7883,293784
59,72950,323542
60,8664,275196
61,62740,346442
62,7921,294171
63,4740,285125
64,12626,280925
65,13426,285131
66,7121,289875
67,9445,286894
68,9483,287188
69,65883,340160
70,7083,274506
71,7902,286405
72,19712,272709
73,11826,276684
74,15769,274711
75,12607,273227
76,11807,268906
77,21284,293347
78,13407,276744
79,19750,288107
80,20503,287641
81,29227,310030
82,15769,274041
83,83303,358291
84,26808,312999
85,22141,293749
86,22941,297402
87,19731,279194
88,20512,276326
89,73769,335962
90,13388,269591
91,129498,632515
92,130188,357813
93,11026,271896
94,9464,279495
95,14988,276840
96,40351,300833
97,7102,281792
98,7902,286477
99,11788,261353
100,8683,282889
101,13350,254197
102,14188,273957
103,158448,375661
104,100448,314346
105,100448,328356
106,96448,297003
107,99648,310459
108,44275,291454
109,8702,290091
110,11788,261341
111,14207,281632
112,14150,258609
113,67445,333185
114,7883,278195
115,12607,284109
116,65102,344811
117,9445,271752
118,7102,282208
119,10245,275948
120,15807,319404
121,14988,276344
122,12607,271980
123,19712,301406
124,8645,266413
125,9464,279447
126,3159,299495
127,11026,271956
128,67464,340879
129,10226,283411
130,67483,332912
131,16531,274363
132,9445,282610
133,11826,306689
134,182774,684265
135,74848,549665
136,80448,529274
137,67464,340807
138,179502,458056
139,10264,283689
140,157666,391107
141,10264,283725
142,9483,287224
143,64321,331044
144,2378,287466
145,1578,283760
146,3940,280906
147,3159,283856
148,4740,285113
149,7121,288834
150,3159,284461
151,4740,284593
152,3159,284461
153,2378,287994
154,1597,291480
155,797,287310
156,6321,284677
157,2378,287958
158,1597,291480
159,797,287298
160,61159,360804
161,2378,287934
162,1597,291468
163,3178,292160
164,5521,281660
165,4740,315169
166,5521,281552
167,65902,347840
168,126264,409508
169,5521,281648
170,8683,282973
171,60378,349284
172,5540,289301
173,2378,287982
174,5540,289349
175,8664,275340
176,11845,282664
177,63521,318807
178,1597,289914
179,3959,288618
180,3940,280966
181,3940,280966
182,4759,292814
183,3940,295876
184,62740,330405
185,1578,298878
186,3959,288642
187,10264,283617
188,3921,273218
189,7902,286513
190,166618,397222
191,100448,313562
192,101248,316452
193,100448,313346
194,101248,317560
195,99648,309943
196,101248,315948
197,101248,315948
198,98848,307971
199,101248,318535
200,101248,315960
201,101248,316200
202,114923,330152
203,65102,343114
204,4721,276859
205,11045,277893
206,3959,288642
207,62740,345840
208,10226,267707
209,239064,488419
210,3159,284437
211,5540,289313
212,8645,267066
213,123864,384918
214,3959,288126
215,6340,292910
216,66664,340358
217,5521,281636
218,3940,280882
219,66683,343782
220,126188,371326
221,63521,342361
222,3159,284449
223,59578,321735
224,7121,289911
225,179502,428044
226,7883,278726
227,64283,331746
228,123864,370459
229,69845,344520
230,10283,290821
231,61140,314721
232,15788,281033
233,69807,330385
234,65102,343638
235,123864,389545
236,181883,420364
237,61140,338031
238,5540,287694
239,6321,285777
240,3940,280942
241,797,287358
242,797,287298
243,797,287274
244,3159,284437
245,797,287322
246,59578,345105
247,2378,287982
248,4740,285029
249,2378,287934
250,117578,359783
251,5540,289265
252,1578,283724
253,2378,287994
254,1597,291480
255,2359,280211
256,797,287334
257,61159,321903
258,117578,410710
-73293849